1
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
FUM 	['iMM904 fum_c', 'iMM904 h2o_c'] 	['iMM904 mal_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


1215
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
FUM 	['iMM904 fum_c', 'iMM904 h2o_c'] 	['iMM904 mal_DASH_L_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
DPGM 	['iMM904 13dpg_c'] 	['iMM904 23dpg_c', 'iMM904 h_c']
OAAt 	['iMM904 oaa_c'] 	['iMM904 oaa_e']
OAAt 	['iMM904 oaa_e'] 	['iMM904 oaa_c']
MDH 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
MDH 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c'] 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c']
RPI 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 r5p_c']
FUM 	['iMM904 mal_DASH_L_c'] 	['iMM904 fum_c', 'iMM904 h2o_c']
DPGM 	['iMM904 23dpg_c', 'iMM904 h_c'] 	['iMM904 13dpg_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


1216
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
FUM 	['iMM904 fum_c', 'iMM904 h2o_c'] 	['iMM904 mal_DASH_L_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
DPGM 	['iMM904 13dpg_c'] 	['iMM904 23dpg_c', 'iMM904 h_c']
OAAt 	['iMM904 oaa_c'] 	['iMM904 oaa_e']
OAAt 	['iMM904 oaa_e'] 	['iMM904 oaa_c']
MDH 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
MDH 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c'] 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
FUM 	['iMM904 mal_DASH_L_c'] 	['iMM904 fum_c', 'iMM904 h2o_c']
DPGM 	['iMM904 23dpg_c', 'iMM904 h_c'] 	['iMM904 13dpg_c']
TKT1 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c']


1217
RBK 	['iMM904 rib_DASH_D_c', 'iMM904 atp_c'] 	['iMM904 r5p_c', 'iMM904 h_c', 'iMM904 adp_c']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
OAAt 	['iMM904 oaa_c'] 	['iMM904 oaa_e']
OAAt 	['iMM904 oaa_e'] 	['iMM904 oaa_c']
MDH 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c']
ADNUC 	['iMM904 h2o_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 rib_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
MDH 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c'] 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c']
FUM 	['iMM904 mal_DASH_L_c'] 	['iMM904 fum_c', 'iMM904 h2o_c']
FUM 	['iMM904 fum_c', 'iMM904 h2o_c'] 	['iMM904 mal_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


1218
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
FUM 	['iMM904 fum_c', 'iMM904 h2o_c'] 	['iMM904 mal_DASH_L_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
OAAt 	['iMM904 oaa_c'] 	['iMM904 oaa_e']
OAAt 	['iMM904 oaa_e'] 	['iMM904 oaa_c']
MDH 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
MDH 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c'] 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c']
PPM 	['iMM904 r1p_c'] 	['iMM904 r5p_c']
FUM 	['iMM904 mal_DASH_L_c'] 	['iMM904 fum_c', 'iMM904 h2o_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


1219
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PRPPS 	['iMM904 r5p_c', 'iMM904 atp_c'] 	['iMM904 amp_c', 'iMM904 h_c', 'iMM904 prpp_c']
OAAt 	['iMM904 oaa_e'] 	['iMM904 oaa_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
PRPPS 	['iMM904 amp_c', 'iMM904 h_c', 'iMM904 prpp_c'] 	['iMM904 r5p_c', 'iMM904 atp_c']
OAAt 	['iMM904 oaa_c'] 	['iMM904 oaa_e']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
MDH 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
MDH 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c'] 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c']
RPI 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 r5p_c']
FUM 	['iMM904 mal_DASH_L_c'] 	['iMM904 fum_c', 'iMM904 h2o_c']
FUM 	['iMM904 fum_c', 'iMM904 h2o_c'] 	['iMM904 mal_DASH_L_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


1220
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PPM 	['iMM904 r5p_c'] 	['iMM904 r1p_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
OAAt 	['iMM904 oaa_c'] 	['iMM904 oaa_e']
PPM 	['iMM904 r1p_c'] 	['iMM904 r5p_c']
OAAt 	['iMM904 oaa_e'] 	['iMM904 oaa_c']
MDH 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
MDH 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c'] 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c']
RPI 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 r5p_c']
FUM 	['iMM904 mal_DASH_L_c'] 	['iMM904 fum_c', 'iMM904 h2o_c']
FUM 	['iMM904 fum_c', 'iMM904 h2o_c'] 	['iMM904 mal_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


1221
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
TALA 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 e4p_c', 'iMM904 f6p_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
FUM 	['iMM904 mal_DASH_L_c'] 	['iMM904 fum_c', 'iMM904 h2o_c']
OAAt 	['iMM904 oaa_c'] 	['iMM904 oaa_e']
RPI 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 r5p_c']
OAAt 	['iMM904 oaa_e'] 	['iMM904 oaa_c']
MDH 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
MDH 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c'] 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c']
TKT2 	['iMM904 xu5p_DASH_D_c', 'iMM904 e4p_c'] 	['iMM904 g3p_c', 'iMM904 f6p_c']
FUM 	['iMM904 fum_c', 'iMM904 h2o_c'] 	['iMM904 mal_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


1222
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
TALA 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 e4p_c', 'iMM904 f6p_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
RPE 	['iMM904 xu5p_DASH_D_c'] 	['iMM904 ru5p_DASH_D_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
FUM 	['iMM904 mal_DASH_L_c'] 	['iMM904 fum_c', 'iMM904 h2o_c']
OAAt 	['iMM904 oaa_c'] 	['iMM904 oaa_e']
OAAt 	['iMM904 oaa_e'] 	['iMM904 oaa_c']
MDH 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
MDH 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c'] 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c']
TKT2 	['iMM904 xu5p_DASH_D_c', 'iMM904 e4p_c'] 	['iMM904 g3p_c', 'iMM904 f6p_c']
FUM 	['iMM904 fum_c', 'iMM904 h2o_c'] 	['iMM904 mal_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


1223
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
TALA 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 e4p_c', 'iMM904 f6p_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
FUM 	['iMM904 mal_DASH_L_c'] 	['iMM904 fum_c', 'iMM904 h2o_c']
OAAt 	['iMM904 oaa_c'] 	['iMM904 oaa_e']
OAAt 	['iMM904 oaa_e'] 	['iMM904 oaa_c']
MDH 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
MDH 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c'] 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c']
TKT1 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c']
TKT2 	['iMM904 xu5p_DASH_D_c', 'iMM904 e4p_c'] 	['iMM904 g3p_c', 'iMM904 f6p_c']
FUM 	['iMM904 fum_c', 'iMM904 h2o_c'] 	['iMM904 mal_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


1224
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
FUM 	['iMM904 mal_DASH_L_c'] 	['iMM904 fum_c', 'iMM904 h2o_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PUNP1 	['iMM904 ade_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
OAAt 	['iMM904 oaa_c'] 	['iMM904 oaa_e']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
MDH 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
OAAt 	['iMM904 oaa_e'] 	['iMM904 oaa_c']
MDH 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c'] 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c']
PPM 	['iMM904 r1p_c'] 	['iMM904 r5p_c']
FUM 	['iMM904 fum_c', 'iMM904 h2o_c'] 	['iMM904 mal_DASH_L_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


1225
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
FUM 	['iMM904 fum_c', 'iMM904 h2o_c'] 	['iMM904 mal_DASH_L_c']
PPM 	['iMM904 r5p_c'] 	['iMM904 r1p_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
OAAt 	['iMM904 oaa_c'] 	['iMM904 oaa_e']
MDH 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
OAAt 	['iMM904 oaa_e'] 	['iMM904 oaa_c']
MDH 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c'] 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c']
PPM 	['iMM904 r1p_c'] 	['iMM904 r5p_c']
FUM 	['iMM904 mal_DASH_L_c'] 	['iMM904 fum_c', 'iMM904 h2o_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


1226
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
RPE 	['iMM904 xu5p_DASH_D_c'] 	['iMM904 ru5p_DASH_D_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
OAAt 	['iMM904 oaa_c'] 	['iMM904 oaa_e']
RPI 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 r5p_c']
OAAt 	['iMM904 oaa_e'] 	['iMM904 oaa_c']
MDH 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
MDH 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 oaa_c'] 	['iMM904 mal_DASH_L_c', 'iMM904 nad_c']
TKT1 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c']
FUM 	['iMM904 mal_DASH_L_c'] 	['iMM904 fum_c', 'iMM904 h2o_c']
FUM 	['iMM904 fum_c', 'iMM904 h2o_c'] 	['iMM904 mal_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


1227
RBK 	['iMM904 rib_DASH_D_c', 'iMM904 atp_c'] 	['iMM904 r5p_c', 'iMM904 h_c', 'iMM904 adp_c']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
ADNUC 	['iMM904 h2o_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 rib_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
